Region,Short_Sector,Group,ValidRows,MinDate,MaxDate,SD,MissingValues
UK,Chemicals Growth,Chemicals Growth,318,1998-01-01,2024-06-01,16.07036905925599,0
UK,Electric and Gas Utilities,Utilities,330,1997-01-01,2024-06-01,17.39824397025732,0
UK,Engineering and Allied Industries Growth,Aggregate Growth,318,1998-01-01,2024-06-01,9.256711212845904,0
UK,MIG Consumer Goods Growth,Consumer Goods Growth,318,1998-01-01,2024-06-01,5.718998316969417,0
UK,MIG Consumer Non-Durables 3mo3m Growth,Consumer Goods 3mo3m Growth,327,1997-04-01,2024-06-01,2.0432444179415534,0
UK,MIG Consumer Non-Durables Growth,Consumer Goods Growth,318,1998-01-01,2024-06-01,5.5768714926112875,0
UK,Manufacturing Total,Manufacturing,918,1948-01-01,2024-06-01,22.886404883258404,0
UK,Mining,Mining,918,1948-01-01,2024-06-01,159.93855415385931,0
UK,Mining Growth,Mining Growth,318,1998-01-01,2024-06-01,10.795936077043823,0
UK,Pharmaceuticals,Manufacturing,330,1997-01-01,2024-06-01,17.34561505424415,0
UK,Wood and Paper Products Growth,Manufacturing Growth,318,1998-01-01,2024-06-01,7.973277524013077,0
US,Automotive Products,Consumer Goods,928,1948-01-01,2025-04-01,30.36485515612193,0
US,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,923,1948-06-01,2025-04-01,9.11346318930149,0
US,Automotive Products 3mo3my Growth,Consumer Goods 3mo3my Growth,911,1949-06-01,2025-04-01,15.71927618259701,0
US,Automotive Products Growth,Consumer Goods Growth,927,1948-02-01,2025-04-01,7.135769861357339,0
US,Consumer Goods,Consumer Goods,928,1948-01-01,2025-04-01,28.75255916864134,0
US,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,923,1948-06-01,2025-04-01,1.7215318522054575,0
US,Consumer Goods 3mo3my Growth,Consumer Goods 3mo3my Growth,911,1949-06-01,2025-04-01,4.866621172196345,0
US,Consumer Goods Growth,Consumer Goods Growth,927,1948-02-01,2025-04-01,1.0930703417784688,0
US,Durable Consumer Goods,Consumer Goods,928,1948-01-01,2025-04-01,31.982894871875118,0
US,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,923,1948-06-01,2025-04-01,5.000989762686711,0
US,Durable Consumer Goods 3mo3my Growth,Consumer Goods 3mo3my Growth,911,1949-06-01,2025-04-01,11.66750865968328,0
