Date,Short_Sector,Group,Value,Region
1948-01-01,Total Index,Total,14.3274,US
1948-01-01,Final Products,Products,15.3521,US
1948-01-01,Consumer Goods,Consumer Goods,20.7883,US
1948-01-01,Durable Consumer Goods,Consumer Goods,13.5284,US
1948-01-01,Automotive Products,Consumer Goods,13.298400000000001,US
1948-01-01,Manufacturing Total,Manufacturing,12.8096,US
1948-01-01,Durable Manufacturing,Manufacturing,7.6135,US
1948-01-01,Mining,Mining,50.9707,US
1948-01-01,Electric and Gas Utilities,Utilities,7.0887,US
1948-02-01,Total Index,Total,14.3543,US
1948-02-01,Total Index Growth,Total Growth,0.18775213925763537,US
1948-02-01,Final Products,Products,15.3521,US
1948-02-01,Final Products Growth,Products Growth,0,US
1948-02-01,Consumer Goods,Consumer Goods,20.8657,US
1948-02-01,Consumer Goods Growth,Consumer Goods Growth,0.37232481732514255,US
1948-02-01,Durable Consumer Goods,Consumer Goods,13.3544,US
1948-02-01,Durable Consumer Goods Growth,Consumer Goods Growth,-1.2861831406522528,US
1948-02-01,Automotive Products,Consumer Goods,12.8616,US
1948-02-01,Automotive Products Growth,Consumer Goods Growth,-3.2846056668471513,US
1948-02-01,Manufacturing Total,Manufacturing,12.8828,US
1948-02-01,Manufacturing Total Growth,Manufacturing Growth,0.5714464151886034,US
1948-02-01,Durable Manufacturing,Manufacturing,7.6281,US
1948-02-01,Durable Manufacturing Growth,Manufacturing Growth,0.1917646286202057,US
1948-02-01,Mining,Mining,51.0394,US
1948-02-01,Mining Growth,Mining Growth,0.1347833166897905,US
1948-02-01,Electric and Gas Utilities,Utilities,7.1141,US
1948-02-01,Electric and Gas Utilities Growth,Utilities Growth,0.3583167576565405,US
1948-03-01,Total Index,Total,14.1931,US
1948-03-01,Total Index Growth,Total Growth,-1.1230084364963866,US
1948-03-01,Final Products,Products,15.3234,US
1948-03-01,Final Products Growth,Products Growth,-0.18694510848679124,US
1948-03-01,Consumer Goods,Consumer Goods,20.6335,US
1948-03-01,Consumer Goods Growth,Consumer Goods Growth,-1.1128311055943474,US
1948-03-01,Durable Consumer Goods,Consumer Goods,13.4538,US
1948-03-01,Durable Consumer Goods Growth,Consumer Goods Growth,0.744323968130356,US
1948-03-01,Automotive Products,Consumer Goods,13.3469,US
1948-03-01,Automotive Products Growth,Consumer Goods Growth,3.773247496423471,US
1948-03-01,Manufacturing Total,Manufacturing,12.7608,US
1948-03-01,Manufacturing Total Growth,Manufacturing Growth,-0.9469990995746302,US
1948-03-01,Durable Manufacturing,Manufacturing,7.4828,US
1948-03-01,Durable Manufacturing Growth,Manufacturing Growth,-1.90479936026009,US
1948-03-01,Mining,Mining,46.0248,US
1948-03-01,Mining Growth,Mining Growth,-9.824958757352164,US
1948-03-01,Electric and Gas Utilities,Utilities,7.2666,US
1948-03-01,Electric and Gas Utilities Growth,Utilities Growth,2.143630255408291,US
1948-04-01,Total Index,Total,14.2199,US
1948-04-01,Total Index Growth,Total Growth,0.188824146944655,US
1948-04-01,Final Products,Products,15.2947,US
1948-04-01,Final Products Growth,Products Growth,-0.18729524779095288,US
1948-04-01,Consumer Goods,Consumer Goods,20.7883,US
1948-04-01,Consumer Goods Growth,Consumer Goods Growth,0.7502362662660245,US
1948-04-01,Durable Consumer Goods,Consumer Goods,13.3295,US
1948-04-01,Durable Consumer Goods Growth,Consumer Goods Growth,-0.923902540546162,US
1948-04-01,Automotive Products,Consumer Goods,12.9344,US
1948-04-01,Automotive Products Growth,Consumer Goods Growth,-3.0906053090979935,US
1948-04-01,Manufacturing Total,Manufacturing,12.6632,US
1948-04-01,Manufacturing Total Growth,Manufacturing Growth,-0.7648423296345075,US
1948-04-01,Durable Manufacturing,Manufacturing,7.2939,US
1948-04-01,Durable Manufacturing Growth,Manufacturing Growth,-2.524456085957127,US
1948-04-01,Mining,Mining,47.1926,US
1948-04-01,Mining Growth,Mining Growth,2.537327701586966,US
1948-04-01,Electric and Gas Utilities,Utilities,7.2158,US
1948-04-01,Electric and Gas Utilities Growth,Utilities Growth,-0.6990889824677327,US
1948-05-01,Total Index,Total,14.4618,US
1948-05-01,Total Index Growth,Total Growth,1.7011371387984475,US
1948-05-01,Final Products,Products,15.266,US
1948-05-01,Final Products Growth,Products Growth,-0.18764670114485016,US
1948-05-01,Consumer Goods,Consumer Goods,20.7109,US
1948-05-01,Consumer Goods Growth,Consumer Goods Growth,-0.37232481732513145,US
1948-05-01,Durable Consumer Goods,Consumer Goods,13.0808,US
1948-05-01,Durable Consumer Goods Growth,Consumer Goods Growth,-1.8657864135939064,US
1948-05-01,Automotive Products,Consumer Goods,12.1579,US
1948-05-01,Automotive Products Growth,Consumer Goods Growth,-6.00337085601188,US
1948-05-01,Manufacturing Total,Manufacturing,13.322,US
1948-05-01,Manufacturing Total Growth,Manufacturing Growth,5.202476467243655,US
1948-05-01,Durable Manufacturing,Manufacturing,7.5409,US
1948-05-01,Durable Manufacturing Growth,Manufacturing Growth,3.3863913681295266,US
1948-05-01,Mining,Mining,53.0316,US
1948-05-01,Mining Growth,Mining Growth,12.372702499968202,US
1948-05-01,Electric and Gas Utilities,Utilities,7.2666,US
1948-05-01,Electric and Gas Utilities Growth,Utilities Growth,0.7040106433105153,US
1948-06-01,Total Index,Total,14.65,US
1948-06-01,Total Index Growth,Total Growth,1.301359443499428,US
1948-06-01,Total Index 3mo3m Growth,Total 3mo3m Growth,1.0656609476895618,US
1948-06-01,Final Products,Products,15.4382,US
1948-06-01,Final Products Growth,Products Growth,1.1279968557578846,US
1948-06-01,Final Products 3mo3m Growth,Products 3mo3m Growth,-0.0623538920126232,US
1948-06-01,Consumer Goods,Consumer Goods,21.0593,US
1948-06-01,Consumer Goods Growth,Consumer Goods Growth,1.6822059881511642,US
1948-06-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,0.43507926951635856,US
1948-06-01,Durable Consumer Goods,Consumer Goods,13.6279,US
1948-06-01,Durable Consumer Goods Growth,Consumer Goods Growth,4.18246590422604,US
1948-06-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-0.739774795099224,US
1948-06-01,Automotive Products,Consumer Goods,13.2013,US
1948-06-01,Automotive Products Growth,Consumer Goods Growth,8.582074206894275,US
1948-06-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,-3.0711090973981947,US
1948-06-01,Manufacturing Total,Manufacturing,13.3464,US
1948-06-01,Manufacturing Total Growth,Manufacturing Growth,0.18315568232998292,US
1948-06-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,2.284335243880875,US
1948-06-01,Durable Manufacturing,Manufacturing,7.6571,US
1948-06-01,Durable Manufacturing Growth,Manufacturing Growth,1.5409301277035992,US
1948-06-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,-1.023129323546501,US
1948-06-01,Mining,Mining,53.0316,US
1948-06-01,Mining Growth,Mining Growth,0,US
1948-06-01,Mining 3mo3m Growth,Mining 3mo3m Growth,3.5268034767476975,US
1948-06-01,Electric and Gas Utilities,Utilities,7.3174,US
1948-06-01,Electric and Gas Utilities Growth,Utilities Growth,0.6990889824677327,US
1948-06-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,1.538934483497445,US
1948-07-01,Total Index,Total,14.65,US
1948-07-01,Total Index Growth,Total Growth,0,US
1948-07-01,Total Index 3mo3m Growth,Total 3mo3m Growth,2.325374760623178,US
1948-07-01,Final Products,Products,15.4955,US
1948-07-01,Final Products Growth,Products Growth,0.3711572592659751,US
1948-07-01,Final Products 3mo3m Growth,Products 3mo3m Growth,0.4992364618818357,US
1948-07-01,Consumer Goods,Consumer Goods,21.0206,US
1948-07-01,Consumer Goods Growth,Consumer Goods Growth,-0.18376679186866696,US
1948-07-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,0.808027292795499,US
1948-07-01,Durable Consumer Goods,Consumer Goods,13.9761,US
1948-07-01,Durable Consumer Goods Growth,Consumer Goods Growth,2.555052502586608,US
1948-07-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,1.363057673957413,US
1948-07-01,Automotive Products,Consumer Goods,14.0264,US
1948-07-01,Automotive Products Growth,Consumer Goods Growth,6.25014203146661,US
1948-07-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,0.6200358174790255,US
1948-07-01,Manufacturing Total,Manufacturing,13.444,US
1948-07-01,Manufacturing Total Growth,Manufacturing Growth,0.7312833423245291,US
1948-07-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,4.713523447534107,US
1948-07-01,Durable Manufacturing,Manufacturing,7.6426,US
1948-07-01,Durable Manufacturing Growth,Manufacturing Growth,-0.1893667315302161,US
1948-07-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,1.945118903092169,US
1948-07-01,Mining,Mining,53.0316,US
1948-07-01,Mining Growth,Mining Growth,0,US
1948-07-01,Mining 3mo3m Growth,Mining 3mo3m Growth,10.285823614554037,US
1948-07-01,Electric and Gas Utilities,Utilities,7.419,US
1948-07-01,Electric and Gas Utilities Growth,Utilities Growth,1.3884713149479255,US
1948-07-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,1.88224943856643,US
1948-08-01,Total Index,Total,14.5962,US
1948-08-01,Total Index Growth,Total Growth,-0.36723549488054674,US
1948-08-01,Total Index 3mo3m Growth,Total 3mo3m Growth,2.3822851651785992,US
1948-08-01,Final Products,Products,15.4669,US
1948-08-01,Final Products Growth,Products Growth,-0.18456971378786324,US
1948-08-01,Final Products 3mo3m Growth,Products 3mo3m Growth,1.125662266449612,US
1948-08-01,Consumer Goods,Consumer Goods,20.827,US
1948-08-01,Consumer Goods Growth,Consumer Goods Growth,-0.9210013034832488,US
1948-08-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,1.2460427439979327,US
1948-08-01,Durable Consumer Goods,Consumer Goods,13.7523,US
1948-08-01,Durable Consumer Goods Growth,Consumer Goods Growth,-1.6013050851095834,US
1948-08-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,3.743217581733971,US
1948-08-01,Automotive Products,Consumer Goods,13.5654,US
1948-08-01,Automotive Products Growth,Consumer Goods Growth,-3.286659442194717,US
1948-08-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,6.123696643010246,US
1948-08-01,Manufacturing Total,Manufacturing,13.2732,US
1948-08-01,Manufacturing Total Growth,Manufacturing Growth,-1.2704552216602272,US
1948-08-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,3.400609095132401,US
1948-08-01,Durable Manufacturing,Manufacturing,7.599,US
1948-08-01,Durable Manufacturing Growth,Manufacturing Growth,-0.5704864836573842,US
1948-08-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,2.603774599419295,US
1948-08-01,Mining,Mining,52.8942,US
1948-08-01,Mining Growth,Mining Growth,-0.259090806236284,US
1948-08-01,Mining 3mo3m Growth,Mining 3mo3m Growth,8.689563689324387,US
1948-08-01,Electric and Gas Utilities,Utilities,7.4699,US
1948-08-01,Electric and Gas Utilities Growth,Utilities Growth,0.6860762906051976,US
1948-08-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,2.10262540806474,US
1948-09-01,Total Index,Total,14.4887,US
1948-09-01,Total Index Growth,Total Growth,-0.7364930598374952,US
1948-09-01,Total Index 3mo3m Growth,Total 3mo3m Growth,0.9304966110260882,US
1948-09-01,Final Products,Products,15.3521,US
1948-09-01,Final Products Growth,Products Growth,-0.742230181872261,US
1948-09-01,Final Products 3mo3m Growth,Products 3mo3m Growth,0.6861033633413172,US
1948-09-01,Consumer Goods,Consumer Goods,20.7109,US
1948-09-01,Consumer Goods Growth,Consumer Goods Growth,-0.5574494646372607,US
1948-09-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,0,US
1948-09-01,Durable Consumer Goods,Consumer Goods,13.3544,US
1948-09-01,Durable Consumer Goods Growth,Consumer Goods Growth,-2.893334205914644,US
1948-09-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,2.609008396980883,US
1948-09-01,Automotive Products,Consumer Goods,12.6917,US
1948-09-01,Automotive Products Growth,Consumer Goods Growth,-6.440650478423038,US
1948-09-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,5.1964296906010565,US
1948-09-01,Manufacturing Total,Manufacturing,13.2976,US
1948-09-01,Manufacturing Total Growth,Manufacturing Growth,0.18382906910163752,US
1948-09-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,1.7370256994376332,US
1948-09-01,Durable Manufacturing,Manufacturing,7.6135,US
1948-09-01,Durable Manufacturing Growth,Manufacturing Growth,0.1908145808658945,US
1948-09-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,1.6148035515007653,US
1948-09-01,Mining,Mining,51.7951,US
1948-09-01,Mining Growth,Mining Growth,-2.0779215868658607,US
1948-09-01,Mining 3mo3m Growth,Mining 3mo3m Growth,2.913494954187712,US
1948-09-01,Electric and Gas Utilities,Utilities,7.5715,US
1948-09-01,Electric and Gas Utilities Growth,Utilities Growth,1.360125302882231,US
1948-09-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,3.0303030303030276,US
1948-10-01,Total Index,Total,14.5963,US
1948-10-01,Total Index Growth,Total Growth,0.7426477185668912,US
1948-10-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-0.18417889574925408,US
1948-10-01,Final Products,Products,15.4955,US
1948-10-01,Final Products Growth,Products Growth,0.93407416574931,US
1948-10-01,Final Products 3mo3m Growth,Products 3mo3m Growth,0.24848646203330385,US
1948-10-01,Consumer Goods,Consumer Goods,20.9432,US
1948-10-01,Consumer Goods Growth,Consumer Goods Growth,1.121631604614004,US
1948-10-01,Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,-0.4932251221516637,US
1948-10-01,Durable Consumer Goods,Consumer Goods,13.7771,US
1948-10-01,Durable Consumer Goods Growth,Consumer Goods Growth,3.1652489067273804,US
1948-10-01,Durable Consumer Goods 3mo3m Growth,Consumer Goods 3mo3m Growth,0.48912616013843113,US
1948-10-01,Automotive Products,Consumer Goods,13.808,US
1948-10-01,Automotive Products Growth,Consumer Goods Growth,8.79551202754556,US
1948-10-01,Automotive Products 3mo3m Growth,Consumer Goods 3mo3m Growth,1.7252498375040837,US
1948-10-01,Manufacturing Total,Manufacturing,13.322,US
1948-10-01,Manufacturing Total Growth,Manufacturing Growth,0.18349175791119168,US
1948-10-01,Manufacturing Total 3mo3m Growth,Manufacturing 3mo3m Growth,-0.5474616328117965,US
1948-10-01,Durable Manufacturing,Manufacturing,7.7879,US
1948-10-01,Durable Manufacturing Growth,Manufacturing Growth,2.2906678925592727,US
1948-10-01,Durable Manufacturing 3mo3m Growth,Manufacturing 3mo3m Growth,0.6996313581954849,US
1948-10-01,Mining,Mining,52.4133,US
1948-10-01,Mining Growth,Mining Growth,1.1935491967386858,US
1948-10-01,Mining 3mo3m Growth,Mining 3mo3m Growth,-1.2522093745364282,US
1948-10-01,Electric and Gas Utilities,Utilities,7.6477,US
1948-10-01,Electric and Gas Utilities Growth,Utilities Growth,1.00640559994718,US
1948-10-01,Electric and Gas Utilities 3mo3m Growth,Utilities 3mo3m Growth,3.118211153024597,US
1948-11-01,Total Index,Total,14.4081,US
1948-11-01,Total Index Growth,Total Growth,-1.2893678534971251,US
1948-11-01,Total Index 3mo3m Growth,Total 3mo3m Growth,-0.9183027232425588,US
1948-11-01,Final Products,Products,15.3234,US
