Date,Region,Short_Sector,Forecast,Lower,Upper
2025-04-01,US,Manufacturing Total,106.79412383924348,105.34620812839898,108.24203955008798
2025-05-01,US,Manufacturing Total,106.91811801825209,104.6377791123773,109.19845692412687
2025-06-01,US,Manufacturing Total,107.01269759724386,104.13113011658648,109.89426507790124
2025-07-01,US,Manufacturing Total,107.10924545672039,103.73183272424039,110.48665818920038
2025-08-01,US,Manufacturing Total,107.19523833856583,103.38598613039505,111.0044905467366
2025-09-01,US,Manufacturing Total,107.37849380344011,103.18160352546168,111.57538408141853
2025-10-01,US,Manufacturing Total,107.49408835037781,102.94245417951942,112.0457225212362
2025-11-01,US,Manufacturing Total,107.5802908185674,102.69962905552117,112.46095258161364
2025-12-01,US,Manufacturing Total,107.8523685064823,102.66350110933314,113.04123590363147
2026-01-01,US,Manufacturing Total,107.78010156858396,102.30033601838626,113.25986711878166
2026-02-01,US,Manufacturing Total,107.9135796755278,102.15759877692595,113.66956057412965
2026-03-01,US,Manufacturing Total,108.03864984067073,102.01911483163512,114.05818484970634
2026-04-01,US,Manufacturing Total,108.06177450730675,101.81545346601494,114.30809554859856
2026-05-01,US,Manufacturing Total,108.16286161477521,101.70291979645356,114.62280343309686
2026-06-01,US,Manufacturing Total,108.3257402184839,101.65901913227393,114.99246130469388
2026-07-01,US,Manufacturing Total,108.39057571263803,101.52329882972928,115.25785259554677
2026-08-01,US,Manufacturing Total,108.51637849146653,101.45423904709496,115.5785179358381
2026-09-01,US,Manufacturing Total,108.6207961166078,101.36902838198168,115.87256385123393
2026-10-01,US,Manufacturing Total,108.75604525533434,101.31948307767587,116.19260743299282
2026-11-01,US,Manufacturing Total,108.78307287366663,101.16619826741265,116.3999474799206
2026-12-01,US,Manufacturing Total,108.92141430329201,101.12839816622335,116.71443044036067
2027-01-01,US,Manufacturing Total,108.94596912203271,100.98070564504536,116.91123259902005
2027-02-01,US,Manufacturing Total,109.08620922481786,100.95234519822851,117.22007325140721
2027-03-01,US,Manufacturing Total,109.1745326983449,100.87549264854033,117.47357274814948
2027-04-01,US,Manufacturing Total,109.27055640875906,100.83309272169276,117.70802009582536
2027-05-01,US,Manufacturing Total,109.3721798344994,100.80331098869637,117.94104868030244
2027-06-01,US,Manufacturing Total,109.47380326023975,100.77551416855135,118.17209235192814
2027-07-01,US,Manufacturing Total,109.57542668598008,100.74961494152298,118.40123843043717
2027-08-01,US,Manufacturing Total,109.67705011172042,100.72553220833619,118.62856801510465
2027-09-01,US,Manufacturing Total,109.77867353746076,100.70319048692181,118.85415658799971
2027-10-01,US,Manufacturing Total,109.8802969632011,100.68251938235957,119.07807454404264
2027-11-01,US,Manufacturing Total,109.98192038894143,100.6634531194468,119.30038765843607
2027-12-01,US,Manufacturing Total,110.08354381468178,100.6459301290802,119.52115750028335
2028-01-01,US,Manufacturing Total,110.18516724042212,100.62989268106666,119.74044179977757
2028-02-01,US,Manufacturing Total,110.28679066616245,100.61528655714832,119.95829477517657
2028-03-01,US,Manufacturing Total,110.38841409190279,100.60206075898614,120.17476742481944
2028-04-01,US,Manufacturing Total,110.49003751764313,100.59016724663957,120.3899077886467
2028-05-01,US,Manufacturing Total,110.59166094338347,100.57956070373787,120.60376118302908
2028-06-01,US,Manufacturing Total,110.6932843691238,100.57019832608717,120.81637041216044
2028-07-01,US,Manufacturing Total,110.79490779486414,100.56203963091643,121.02777595881186
2028-08-01,US,Manufacturing Total,110.89653122060449,100.55504628435156,121.23801615685741
2028-09-01,US,Manufacturing Total,110.99815464634482,100.5491819450331,121.44712734765653
2028-10-01,US,Manufacturing Total,111.09977807208516,100.5444121220686,121.65514402210172
2028-11-01,US,Manufacturing Total,111.2014014978255,100.54070404574571,121.86209894990529
2028-12-01,US,Manufacturing Total,111.30302492356584,100.53802654963229,122.0680232974994
2029-01-01,US,Manufacturing Total,111.40464834930617,100.53634996286115,122.27294673575119
2029-02-01,US,Manufacturing Total,111.50627177504651,100.53564601154447,122.47689753854856
2029-03-01,US,Manufacturing Total,111.60789520078686,100.53588772838934,122.67990267318437
2029-04-01,US,Manufacturing Total,111.70951862652718,100.537049369696,122.88198788335836
2029-05-01,US,Manufacturing Total,111.81114205226753,100.53910633901461,123.08317776552045
2029-06-01,US,Manufacturing Total,111.91276547800787,100.54203511681906,123.28349583919668
2029-07-01,US,Manufacturing Total,112.01438890374821,100.54581319562855,123.48296461186787
2029-08-01,US,Manufacturing Total,112.11601232948854,100.55041902006927,123.68160563890781
2029-09-01,US,Manufacturing Total,112.21763575522888,100.55583193142465,123.87943957903312
2029-10-01,US,Manufacturing Total,112.31925918096923,100.56203211626953,124.07648624566892
2029-11-01,US,Manufacturing Total,112.42088260670955,100.5690005588271,124.27276465459201
2029-12-01,US,Manufacturing Total,112.5225060324499,100.57671899672346,124.46829306817634
2030-01-01,US,Manufacturing Total,112.62412945819024,100.5851698798487,124.66308903653177
2030-02-01,US,Manufacturing Total,112.72575288393058,100.59433633206193,124.85716943579924
2030-03-01,US,Manufacturing Total,112.82737630967091,100.60420211550333,125.0505505038385
2030-04-01,US,Manufacturing Total,112.92899973541125,100.61475159730003,125.24324787352248
