Date,Short_Sector,Group,Value
1948-01-01,Total Index,Total,14.3274
1948-01-01,Final Products,Products,15.3521
1948-01-01,Consumer Goods,Consumer Goods,20.7883
1948-01-01,Durable Consumer Goods,Consumer Goods,13.5284
1948-01-01,Automotive Products,Consumer Goods,13.298400000000001
1948-01-01,Manufacturing Total,Manufacturing,12.8096
1948-01-01,Durable Manufacturing,Manufacturing,7.6135
1948-01-01,Mining,Mining,50.9707
1948-01-01,Electric and Gas Utilities,Utilities,7.0887
1948-02-01,Total Index,Total,14.3543
1948-02-01,Total Index Growth,Total Growth,0.18775213925763534
1948-02-01,Final Products,Products,15.3521
1948-02-01,Final Products Growth,Products Growth,0
1948-02-01,Consumer Goods,Consumer Goods,20.8657
1948-02-01,Consumer Goods Growth,Consumer Goods Growth,0.37232481732514255
1948-02-01,Durable Consumer Goods,Consumer Goods,13.3544
1948-02-01,Durable Consumer Goods Growth,Consumer Goods Growth,-1.2861831406522528
1948-02-01,Automotive Products,Consumer Goods,12.8616
1948-02-01,Automotive Products Growth,Consumer Goods Growth,-3.2846056668471513
1948-02-01,Manufacturing Total,Manufacturing,12.8828
1948-02-01,Manufacturing Total Growth,Manufacturing Growth,0.5714464151886034
1948-02-01,Durable Manufacturing,Manufacturing,7.6281
1948-02-01,Durable Manufacturing Growth,Manufacturing Growth,0.1917646286202057
1948-02-01,Mining,Mining,51.0394
1948-02-01,Mining Growth,Mining Growth,0.1347833166897905
1948-02-01,Electric and Gas Utilities,Utilities,7.1141
1948-02-01,Electric and Gas Utilities Growth,Utilities Growth,0.3583167576565405
1948-03-01,Total Index,Total,14.1931
1948-03-01,Total Index Growth,Total Growth,-1.1230084364963866
1948-03-01,Final Products,Products,15.3234
1948-03-01,Final Products Growth,Products Growth,-0.18694510848679124
1948-03-01,Consumer Goods,Consumer Goods,20.6335
1948-03-01,Consumer Goods Growth,Consumer Goods Growth,-1.1128311055943474
1948-03-01,Durable Consumer Goods,Consumer Goods,13.4538
1948-03-01,Durable Consumer Goods Growth,Consumer Goods Growth,0.744323968130356
1948-03-01,Automotive Products,Consumer Goods,13.3469
1948-03-01,Automotive Products Growth,Consumer Goods Growth,3.773247496423471
1948-03-01,Manufacturing Total,Manufacturing,12.7608
1948-03-01,Manufacturing Total Growth,Manufacturing Growth,-0.9469990995746302
1948-03-01,Durable Manufacturing,Manufacturing,7.4828
1948-03-01,Durable Manufacturing Growth,Manufacturing Growth,-1.90479936026009
1948-03-01,Mining,Mining,46.0248
1948-03-01,Mining Growth,Mining Growth,-9.824958757352164
1948-03-01,Electric and Gas Utilities,Utilities,7.2666
1948-03-01,Electric and Gas Utilities Growth,Utilities Growth,2.143630255408291
1948-04-01,Total Index,Total,14.2199
1948-04-01,Total Index Growth,Total Growth,0.188824146944655
1948-04-01,Final Products,Products,15.2947
1948-04-01,Final Products Growth,Products Growth,-0.18729524779095286
1948-04-01,Consumer Goods,Consumer Goods,20.7883
1948-04-01,Consumer Goods Growth,Consumer Goods Growth,0.7502362662660245
1948-04-01,Durable Consumer Goods,Consumer Goods,13.3295
1948-04-01,Durable Consumer Goods Growth,Consumer Goods Growth,-0.923902540546162
1948-04-01,Automotive Products,Consumer Goods,12.9344
1948-04-01,Automotive Products Growth,Consumer Goods Growth,-3.0906053090979935
1948-04-01,Manufacturing Total,Manufacturing,12.6632
1948-04-01,Manufacturing Total Growth,Manufacturing Growth,-0.7648423296345075
1948-04-01,Durable Manufacturing,Manufacturing,7.2939
1948-04-01,Durable Manufacturing Growth,Manufacturing Growth,-2.5244560859571274
1948-04-01,Mining,Mining,47.1926
1948-04-01,Mining Growth,Mining Growth,2.5373277015869666
1948-04-01,Electric and Gas Utilities,Utilities,7.2158
1948-04-01,Electric and Gas Utilities Growth,Utilities Growth,-0.6990889824677327
1948-05-01,Total Index,Total,14.4618
1948-05-01,Total Index Growth,Total Growth,1.7011371387984475
1948-05-01,Final Products,Products,15.266
1948-05-01,Final Products Growth,Products Growth,-0.18764670114485016
1948-05-01,Consumer Goods,Consumer Goods,20.7109
1948-05-01,Consumer Goods Growth,Consumer Goods Growth,-0.37232481732513145
1948-05-01,Durable Consumer Goods,Consumer Goods,13.0808
1948-05-01,Durable Consumer Goods Growth,Consumer Goods Growth,-1.8657864135939062
1948-05-01,Automotive Products,Consumer Goods,12.1579
