Date,Short_Sector,Group,Value
1948-01-01,Mining,Mining,559.5
1948-01-01,Manufacturing Total,Manufacturing,24.6
1948-02-01,Mining,Mining,559.7
1948-02-01,Manufacturing Total,Manufacturing,24.7
1948-03-01,Mining,Mining,554
1948-03-01,Manufacturing Total,Manufacturing,24.7
1948-04-01,Mining,Mining,545.9
1948-04-01,Manufacturing Total,Manufacturing,24.7
1948-05-01,Mining,Mining,541.1
1948-05-01,Manufacturing Total,Manufacturing,24.8
1948-06-01,Mining,Mining,543
1948-06-01,Manufacturing Total,Manufacturing,25
1948-07-01,Mining,Mining,549.3
1948-07-01,Manufacturing Total,Manufacturing,25.3
1948-08-01,Mining,Mining,555.7
1948-08-01,Manufacturing Total,Manufacturing,25.5
1948-09-01,Mining,Mining,559
1948-09-01,Manufacturing Total,Manufacturing,25.6
1948-10-01,Mining,Mining,559.2
1948-10-01,Manufacturing Total,Manufacturing,25.6
1948-11-01,Mining,Mining,557.8
1948-11-01,Manufacturing Total,Manufacturing,25.6
1948-12-01,Mining,Mining,556.1
1948-12-01,Manufacturing Total,Manufacturing,25.8
1949-01-01,Mining,Mining,555.8
1949-01-01,Manufacturing Total,Manufacturing,26
1949-02-01,Mining,Mining,558.6
1949-02-01,Manufacturing Total,Manufacturing,26.3
1949-03-01,Mining,Mining,565
1949-03-01,Manufacturing Total,Manufacturing,26.5
1949-04-01,Mining,Mining,572.3
1949-04-01,Manufacturing Total,Manufacturing,26.6
1949-05-01,Mining,Mining,576.8
1949-05-01,Manufacturing Total,Manufacturing,26.8
1949-06-01,Mining,Mining,576.4
1949-06-01,Manufacturing Total,Manufacturing,27
1949-07-01,Mining,Mining,573.3
1949-07-01,Manufacturing Total,Manufacturing,27.3
1949-08-01,Mining,Mining,571.7
1949-08-01,Manufacturing Total,Manufacturing,27.4
1949-09-01,Mining,Mining,573.8
1949-09-01,Manufacturing Total,Manufacturing,27.4
1949-10-01,Mining,Mining,577
1949-10-01,Manufacturing Total,Manufacturing,27.4
1949-11-01,Mining,Mining,577
1949-11-01,Manufacturing Total,Manufacturing,27.4
1949-12-01,Mining,Mining,571.5
1949-12-01,Manufacturing Total,Manufacturing,27.6
1950-01-01,Mining,Mining,563.9
1950-01-01,Manufacturing Total,Manufacturing,27.9
1950-02-01,Mining,Mining,560.1
1950-02-01,Manufacturing Total,Manufacturing,28.2
1950-03-01,Mining,Mining,563.5
1950-03-01,Manufacturing Total,Manufacturing,28.4
1950-04-01,Mining,Mining,571.7
1950-04-01,Manufacturing Total,Manufacturing,28.6
1950-05-01,Mining,Mining,580.1
1950-05-01,Manufacturing Total,Manufacturing,28.8
1950-06-01,Mining,Mining,585.1
1950-06-01,Manufacturing Total,Manufacturing,29.1
1950-07-01,Mining,Mining,586.2
1950-07-01,Manufacturing Total,Manufacturing,29.4
1950-08-01,Mining,Mining,583.8
1950-08-01,Manufacturing Total,Manufacturing,29.6
1950-09-01,Mining,Mining,579.1
1950-09-01,Manufacturing Total,Manufacturing,29.7
1950-10-01,Mining,Mining,575.2
1950-10-01,Manufacturing Total,Manufacturing,29.6
1950-11-01,Mining,Mining,576.1
1950-11-01,Manufacturing Total,Manufacturing,29.5
1950-12-01,Mining,Mining,583.3
1950-12-01,Manufacturing Total,Manufacturing,29.6
1951-01-01,Mining,Mining,591.8
1951-01-01,Manufacturing Total,Manufacturing,29.6
1951-02-01,Mining,Mining,594.5
1951-02-01,Manufacturing Total,Manufacturing,29.6
1951-03-01,Mining,Mining,587.7
1951-03-01,Manufacturing Total,Manufacturing,29.5
1951-04-01,Mining,Mining,577.9
1951-04-01,Manufacturing Total,Manufacturing,29.4
1951-05-01,Mining,Mining,575.4
1951-05-01,Manufacturing Total,Manufacturing,29.6
1951-06-01,Mining,Mining,586
1951-06-01,Manufacturing Total,Manufacturing,30
1951-07-01,Mining,Mining,602.8
1951-07-01,Manufacturing Total,Manufacturing,30.5
1951-08-01,Mining,Mining,614.3
1951-08-01,Manufacturing Total,Manufacturing,30.7
1951-09-01,Mining,Mining,613.1
1951-09-01,Manufacturing Total,Manufacturing,30.6
1951-10-01,Mining,Mining,602.6
1951-10-01,Manufacturing Total,Manufacturing,30.2
1951-11-01,Mining,Mining,590
1951-11-01,Manufacturing Total,Manufacturing,29.7
1951-12-01,Mining,Mining,580.9
1951-12-01,Manufacturing Total,Manufacturing,29.4
1952-01-01,Mining,Mining,576.3
1952-01-01,Manufacturing Total,Manufacturing,29.1
1952-02-01,Mining,Mining,575.3
1952-02-01,Manufacturing Total,Manufacturing,28.9
1952-03-01,Mining,Mining,577.8
1952-03-01,Manufacturing Total,Manufacturing,28.7
1952-04-01,Mining,Mining,584.8
1952-04-01,Manufacturing Total,Manufacturing,28.4
1952-05-01,Mining,Mining,597.9
1952-05-01,Manufacturing Total,Manufacturing,28.1
1952-06-01,Mining,Mining,616.3
1952-06-01,Manufacturing Total,Manufacturing,27.7
1952-07-01,Mining,Mining,632.2
1952-07-01,Manufacturing Total,Manufacturing,27.4
1952-08-01,Mining,Mining,635.5
1952-08-01,Manufacturing Total,Manufacturing,27.4
1952-09-01,Mining,Mining,621
1952-09-01,Manufacturing Total,Manufacturing,27.9
1952-10-01,Mining,Mining,598.9
1952-10-01,Manufacturing Total,Manufacturing,28.6
1952-11-01,Mining,Mining,584.3
1952-11-01,Manufacturing Total,Manufacturing,29.2
1952-12-01,Mining,Mining,587
1952-12-01,Manufacturing Total,Manufacturing,29.5
1953-01-01,Mining,Mining,600.8
1953-01-01,Manufacturing Total,Manufacturing,29.5
1953-02-01,Mining,Mining,614
1953-02-01,Manufacturing Total,Manufacturing,29.5
1953-03-01,Mining,Mining,617.7
1953-03-01,Manufacturing Total,Manufacturing,29.7
1953-04-01,Mining,Mining,611.4
1953-04-01,Manufacturing Total,Manufacturing,29.9
1953-05-01,Mining,Mining,597.5
1953-05-01,Manufacturing Total,Manufacturing,30.1
1953-06-01,Mining,Mining,579.6
1953-06-01,Manufacturing Total,Manufacturing,30.1
1953-07-01,Mining,Mining,565.5
1953-07-01,Manufacturing Total,Manufacturing,30.1
1953-08-01,Mining,Mining,564
1953-08-01,Manufacturing Total,Manufacturing,30.3
1953-09-01,Mining,Mining,579.6
1953-09-01,Manufacturing Total,Manufacturing,30.9
1953-10-01,Mining,Mining,603
1953-10-01,Manufacturing Total,Manufacturing,31.5
1953-11-01,Mining,Mining,620.8
1953-11-01,Manufacturing Total,Manufacturing,31.9
1953-12-01,Mining,Mining,623.7
1953-12-01,Manufacturing Total,Manufacturing,31.8
1954-01-01,Mining,Mining,616.4
1954-01-01,Manufacturing Total,Manufacturing,31.4
1954-02-01,Mining,Mining,607.9
1954-02-01,Manufacturing Total,Manufacturing,31.1
1954-03-01,Mining,Mining,604.5
1954-03-01,Manufacturing Total,Manufacturing,31.2
1954-04-01,Mining,Mining,604.5
1954-04-01,Manufacturing Total,Manufacturing,31.6
1954-05-01,Mining,Mining,603.5
