Short_Sector,Group,Observations,Mean,SD,Min,Max,Median
Chemicals Growth,Chemicals Growth,318,2.9522012578616366,16.07036905925599,-37.2,78.8,0.8500000000000001
Electric and Gas Utilities,Utilities,330,93.18606060606061,17.39824397025732,58.5,137.5,92.1
Engineering and Allied Industries Growth,Aggregate Growth,318,3.1374213836477978,9.256711212845904,-32,65.9,3.7
MIG Consumer Goods Growth,Consumer Goods Growth,318,2.818553459119497,5.718998316969417,-8.8,20,3
MIG Consumer Non-Durables 3mo3m Growth,Consumer Goods 3mo3m Growth,327,0.4110091743119264,2.0432444179415534,-5.3,8.1,0.3
MIG Consumer Non-Durables Growth,Consumer Goods Growth,318,1.736163522012579,5.5768714926112875,-13,16.9,1.7
Manufacturing Total,Manufacturing,918,62.571677559912835,22.886404883258404,24.6,111.5,57.150000000000006
Mining,Mining,918,323.9567538126365,159.93855415385931,31.8,635.5,317.2
Mining Growth,Mining Growth,318,-5.908176100628929,10.795936077043823,-41.9,34.2,-6.199999999999999
Pharmaceuticals,Manufacturing,330,107.42969696969696,17.34561505424415,72.6,159.1,104.85
Wood and Paper Products Growth,Manufacturing Growth,318,1.8003144654088057,7.973277524013077,-33.1,42.6,2.55
